,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
399,603000.SH,20231026,31.49,31.96,31.01,31.7,32.45,-0.75,-2.3112,343624.35,1082292.406,31.7,3.1078,7.1534,0.69,112.9925,130.3939,10.0372,17.7222,17.3042,0.3312,0.5142,110569.1056,110569.1056,48036.5035,3505040.6475,3505040.6475
400,603000.SH,20231025,32.8,33.79,32.35,32.45,32.8,-0.35,-1.0671,483662.86,1585711.565,32.45,4.3743,10.0687,0.95,115.6659,133.479,10.2746,18.1415,17.7136,0.3236,0.5023,110569.1056,110569.1056,48036.5035,3587967.4767,3587967.4767
401,603000.SH,20231024,31.36,33.12,31.1,32.8,30.84,1.96,6.3554,602240.69,1938979.82,32.8,5.4467,12.5371,1.12,116.9134,134.9186,10.3855,18.3371,17.9047,0.3201,0.497,110569.1056,110569.1056,48036.5035,3626666.6637,3626666.6637
402,603000.SH,20231023,31.89,32.32,30.51,30.84,32.78,-1.94,-5.9182,467328.63,1458634.243,30.84,4.2266,9.7286,0.78,109.9271,126.8564,9.7649,17.2414,16.8348,0.3405,0.5285,110569.1056,110569.1056,48036.5035,3409951.2167,3409951.2167
403,603000.SH,20231020,34.29,34.76,32.2,32.78,35.51,-2.73,-7.688,555132.32,1844279.426,32.78,5.0207,11.5565,0.96,116.8421,134.8364,10.3791,18.326,17.8938,0.3203,0.4973,110569.1056,110569.1056,48036.5035,3624455.2816,3624455.2816
404,603000.SH,20231019,35.01,36.4,34.91,35.51,35.77,-0.26,-0.7269,396660.99,1415552.925,35.51,3.5874,8.2575,0.68,126.573,144.4157,11.3173,19.8522,19.5006,0.2957,0.459,110569.1056,110569.1056,48036.5035,3926308.9399,3926308.9399
405,603000.SH,20231018,37.3,37.35,35.65,35.77,37.6,-1.83,-4.867,514779.98,1859581.301,35.77,4.6557,10.7164,0.9,127.4998,145.4731,11.4002,19.9976,19.6434,0.2935,0.4557,110569.1056,110569.1056,48036.5035,3955056.9073,3955056.9073
406,603000.SH,20231017,36.51,38.31,35.67,37.6,36.99,0.61,1.6491,762025.13,2824643.755,37.6,6.8918,15.8635,1.43,134.0227,152.9155,11.9834,21.0206,20.6483,0.2793,0.4335,110569.1056,110569.1056,48036.5035,4157398.3706,4157398.3706
407,603000.SH,20231016,35.42,38.03,35.3,36.99,35.25,1.74,4.9362,775679.96,2856757.722,36.99,7.0153,16.1477,1.54,131.8484,150.4347,11.789,20.6796,20.3134,0.2839,0.4407,110569.1056,110569.1056,48036.5035,4089951.2161,4089951.2161
408,603000.SH,20231013,36.2,36.49,34.95,35.25,36.29,-1.04,-2.8658,433197.78,1539859.256,35.25,3.9179,9.0181,0.76,125.6463,143.3583,11.2344,19.7068,19.3578,0.2979,0.4624,110569.1056,110569.1056,48036.5035,3897560.9724,3897560.9724
